"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"282","Nasrat Haqparast","Rafa Garcia","Southpaw","3/13/2021","Southpaw","Orthodox"
"283","Cortney Casey","JJ Aldrich","Southpaw","3/13/2021","Orthodox","Southpaw"
"284","Gloria de Paula","Jinh Yu Frey","Southpaw","3/13/2021","Orthodox","Southpaw"
"285","Matthew Semelsberger","Jason Witt","Switch","3/13/2021","Switch","Orthodox"
"286","Jan Blachowicz","Israel Adesanya","Orthodox","3/6/2021","Orthodox","Switch"
"288","Petr Yan","Aljamain Sterling","Orthodox","3/6/2021","Switch","Orthodox"
"291","Dominick Cruz","Casey Kenney","Orthodox","3/6/2021","Orthodox","Southpaw"
"293","Joseph Benavidez","Askar Askarov","Orthodox","3/6/2021","Southpaw","Orthodox"
"295","Tim Elliott","Jordan Espinosa","Southpaw","3/6/2021","Southpaw","Orthodox"
"296","Kennedy Nzechukwu","Carlos Ulberg","Southpaw","3/6/2021","Southpaw","Orthodox"
"298","Livinha Souza","Amanda Lemos","Southpaw","3/6/2021","Orthodox","Southpaw"
"299","Uros Medic","Aalon Cruz","Southpaw","3/6/2021","Southpaw","Switch"
"300","Mario Bautista","Trevin Jones","Southpaw","3/6/2021","Switch","Southpaw"
"304","Alex Caceres","Kevin Croom","Southpaw","2/27/2021","Southpaw","Orthodox"
"307","Vince Cachero","Ronnie Lawrence","Switch","2/27/2021","Orthodox","Switch"
"311","Charles Rosa","Darrick Minner","Orthodox","2/20/2021","Switch","Orthodox"
"316","Eddie Wineland","John Castaneda","Switch","2/20/2021","Orthodox","Switch"
"317","Nate Landwehr","Julian Erosa","Southpaw","2/20/2021","Orthodox","Southpaw"
"321","Kamaru Usman","Gilbert Burns","Switch","2/13/2021","Switch","Orthodox"
"322","Maycee Barber","Alexa Grasso","Orthodox","2/13/2021","Switch","Orthodox"
"323","Kelvin Gastelum","Ian Heinisch","Southpaw","2/13/2021","Southpaw","Orthodox"
"324","Ricky Simon","Brian Kelleher","Orthodox","2/13/2021","Orthodox","Switch"
"329","Andre Ewell","Chris Gutierrez","Orthodox","2/13/2021","Southpaw","Orthodox"
"330","Gabe Green","Philip Rowe","Switch","2/13/2021","Switch","Orthodox"
"332","Cory Sandhagen","Frankie Edgar","Switch","2/6/2021","Switch","Orthodox"
"333","Alexandre Pantoja","Manel Kape","Orthodox","2/6/2021","Orthodox","Southpaw"
"334","Diego Ferreira","Beneil Dariush","Southpaw","2/6/2021","Orthodox","Southpaw"
"335","Michael Johnson","Clay Guida","Orthodox","2/6/2021","Southpaw","Orthodox"
"336","Mike Rodriguez","Danilo Marques","Orthodox","2/6/2021","Southpaw","Orthodox"
"338","SeungWoo Choi","Youssef Zalal","Orthodox","2/6/2021","Orthodox","Switch"
"340","Dan Hooker","Michael Chandler","Orthodox","1/23/2021","Switch","Orthodox"
"346","Khalil Rountree Jr.","Marcin Prachnio","Orthodox","1/23/2021","Southpaw","Orthodox"
"348","Amir Albazi","Zhalgas Zhumagulov","Orthodox","1/23/2021","Orthodox","Switch"
"349","Michael Chiesa","Neil Magny","Southpaw","1/20/2021","Southpaw","Orthodox"
"355","Omari Akhmedov","Tom Breese","Orthodox","1/20/2021","Orthodox","Southpaw"
"366","Joaquin Buckley","Alessio Di Chirico","Orthodox","1/16/2021","Southpaw","Orthodox"
"367","Punahele Soriano","Dusko Todorovic","Southpaw","1/16/2021","Southpaw","Orthodox"
"369","Carlos Felipe","Justin Tafa","Orthodox","1/16/2021","Orthodox","Southpaw"
"370","David Zawada","Ramazan Emeev","Southpaw","1/16/2021","Orthodox","Southpaw"
"373","Stephen Thompson","Geoff Neal","Orthodox","12/19/2020","Orthodox","Southpaw"
